algo,family,dist,n,repeats,median_ms
counting,linear,few_unique,1024,5,0.001612
counting,linear,few_unique,4096,5,0.006568
counting,linear,few_unique,16384,5,0.026717
counting,linear,few_unique,32768,5,0.054048
counting,linear,few_unique,65536,5,0.107706
counting,linear,few_unique,262144,5,0.447489
counting,linear,few_unique,1048576,5,1.982269
radix,linear,random,256,5,0.000433
radix,linear,random,1024,5,0.002165
radix,linear,random,4096,5,0.008607
radix,linear,random,16384,5,0.038153
radix,linear,random,32768,5,0.083856
radix,linear,random,65536,5,0.159802
radix,linear,random,262144,5,1.211187
radix,linear,random,1048576,5,4.383928
radix,linear,sorted,256,5,0.00035
radix,linear,sorted,1024,5,0.002082
radix,linear,sorted,4096,5,0.007866
radix,linear,sorted,16384,5,0.102854
radix,linear,sorted,32768,5,0.212166
radix,linear,sorted,65536,5,0.53923
radix,linear,sorted,262144,5,5.187864
radix,linear,sorted,1048576,5,23.324289
radix,linear,reversed,256,5,0.000376
radix,linear,reversed,1024,5,0.002138
radix,linear,reversed,4096,5,0.008324
radix,linear,reversed,16384,5,0.103186
radix,linear,reversed,32768,5,0.211604
radix,linear,reversed,65536,5,0.606148
radix,linear,reversed,262144,5,5.306331
radix,linear,reversed,1048576,5,23.801177
radix,linear,nearly_sorted,256,5,0.000343
radix,linear,nearly_sorted,1024,5,0.002107
radix,linear,nearly_sorted,4096,5,0.007592
radix,linear,nearly_sorted,16384,5,0.097814
radix,linear,nearly_sorted,32768,5,0.211097
radix,linear,nearly_sorted,65536,5,0.588249
radix,linear,nearly_sorted,262144,5,5.22531
radix,linear,nearly_sorted,1048576,5,23.28202
radix,linear,few_unique,256,5,0.000503
radix,linear,few_unique,1024,5,0.001899
radix,linear,few_unique,4096,5,0.007264
radix,linear,few_unique,16384,5,0.027884
radix,linear,few_unique,32768,5,0.055971
radix,linear,few_unique,65536,5,0.113211
radix,linear,few_unique,262144,5,0.459135
radix,linear,few_unique,1048576,5,2.003912
bucket,linear,random,256,5,0.007663
bucket,linear,random,1024,5,0.031468
bucket,linear,random,4096,5,0.129565
bucket,linear,random,16384,5,0.538226
bucket,linear,random,32768,5,1.134249
bucket,linear,random,65536,5,2.423496
bucket,linear,random,262144,5,14.103635
bucket,linear,random,1048576,5,98.510729
bucket,linear,sorted,256,5,0.005422
bucket,linear,sorted,1024,5,0.015551
bucket,linear,sorted,4096,5,0.079547
bucket,linear,sorted,16384,5,0.323447
bucket,linear,sorted,32768,5,0.609613
bucket,linear,sorted,65536,5,1.288713
bucket,linear,sorted,262144,5,5.162067
bucket,linear,sorted,1048576,5,24.508556
bucket,linear,reversed,256,5,0.005588
bucket,linear,reversed,1024,5,0.015792
bucket,linear,reversed,4096,5,0.076603
bucket,linear,reversed,16384,5,0.318259
bucket,linear,reversed,32768,5,0.625008
bucket,linear,reversed,65536,5,1.306084
bucket,linear,reversed,262144,5,5.602606
bucket,linear,reversed,1048576,5,26.378349
bucket,linear,nearly_sorted,256,5,0.005417
bucket,linear,nearly_sorted,1024,5,0.015631
bucket,linear,nearly_sorted,4096,5,0.078007
bucket,linear,nearly_sorted,16384,5,0.321114
bucket,linear,nearly_sorted,32768,5,0.629038
bucket,linear,nearly_sorted,65536,5,1.283253
bucket,linear,nearly_sorted,262144,5,5.197734
bucket,linear,nearly_sorted,1048576,5,25.226678
bucket,linear,few_unique,256,5,0.003357
bucket,linear,few_unique,1024,5,0.010841
bucket,linear,few_unique,4096,5,0.027521
bucket,linear,few_unique,16384,5,0.108114
bucket,linear,few_unique,32768,5,0.22374
bucket,linear,few_unique,65536,5,0.453089
bucket,linear,few_unique,262144,5,1.942801
bucket,linear,few_unique,1048576,5,9.156794
